date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:47	14716/14716	---M--	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202014%2004:56:16%20GMT	http://ndpsoftware.com/git-cheatsheet.html	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet.html	(from )
09:42:47	1995/1995	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202014%2004:12:48%20GMT	http://ndpsoftware.com/robots.txt		(from )
09:42:48	796/796	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Nov%202010%2016:42:15%20GMT	http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css	(from http://ndpsoftware.com/git-cheatsheet.html)
09:42:51	7646/7646	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Feb%202014%2005:03:34%20GMT	http://ndpsoftware.com/git-cheatsheet/styles.js?v=2	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/styles5e1f.js	(from http://ndpsoftware.com/git-cheatsheet.html)
09:42:52	27473/27473	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20May%202012%2003:28:34%20GMT	http://ndpsoftware.com/git-cheatsheet/csster.js?v=2	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/csster5e1f.js	(from http://ndpsoftware.com/git-cheatsheet.html)
09:42:52	446/446	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Nov%202013%2022:49:23%20GMT	http://ndpsoftware.com/git-cheatsheet/cookies.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/cookies.js	(from http://ndpsoftware.com/git-cheatsheet.html)
09:42:56	35074/35074	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Feb%202014%2004:56:16%20GMT	http://ndpsoftware.com/git-cheatsheet/commands.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/commands.js	(from http://ndpsoftware.com/git-cheatsheet.html)
09:42:57	987/987	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Dec%202013%2003:51:51%20GMT	http://ndpsoftware.com/git-cheatsheet/base.js?v=2	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/base5e1f.js	(from http://ndpsoftware.com/git-cheatsheet.html)
09:42:59	5059/5059	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Dec%202013%2006:59:30%20GMT	http://ndpsoftware.com/git-cheatsheet/git-cheatsheet.js?v=2	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/git-cheatsheet5e1f.js	(from http://ndpsoftware.com/git-cheatsheet.html)
09:43:01	12253/12253	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:13:01%20GMT	http://ndpsoftware.com/	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/index.html	(from http://ndpsoftware.com/git-cheatsheet.html)
09:43:06	240196/240196	---MC-	200	added ('OK')	text/javascript	date:Fri,%2019%20Apr%202013%2014:00:29%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.js	(from http://ndpsoftware.com/git-cheatsheet.html)
09:43:10	35699/35699	---MC-	200	added ('OK')	application/javascript	etag:%22193e9d1090e9dbcaf0e0b1666fd9bd33%22	https://apis.google.com/js/plusone.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/apis.google.com/js/plusone.js	(from http://ndpsoftware.com/git-cheatsheet.html)
